2001,Consumer Protection; ,Civil Division; ,16-1293; 
2002,Identity Theft; Tax; ,Tax Division; ,16-1292; 
2003,StopFraud; ,"Criminal Division; Criminal - Criminal Fraud Section; USAO - North Carolina, Western; ",16-1291; 
2004,Drug Trafficking; Violent Crime; ,"Criminal Division; USAO - Mississippi, Northern; ",16-1289; 
2005,Antitrust; ,Antitrust Division; ,16-1288; 
2006,Civil Rights; ,"Civil Rights Division; Civil Rights - Criminal Section; USAO - Louisiana, Middle; ",16-1287; 
2007,Antitrust; ,Antitrust Division; ,16-1285; 
2008,None,Office of the Attorney General; ,16-1286; 
2009,Servicemembers Initiative; ,Office of the Associate Attorney General; Office of the Attorney General; ,16-1284; 
2010,Civil Rights; ,Civil Rights Division; Civil Rights - Educational Opportunities Section; ,16-1283; 
2011,Identity Theft; Tax; ,Tax Division; ,16-1282; 
2012,Tax; ,Tax Division; ,16-1280; 
2013,Antitrust; ,Antitrust Division; ,16-1281; 
2014,Civil Rights; ,Civil Rights Division; Civil Rights - Special Litigation Section; ,16-1279; 
2015,Human Trafficking; ,Civil Rights Division; ,16-1278; 
2016,None,Criminal Division; ,16-1277; 
2017,Tax; ,Tax Division; ,16-1275; 
2018,Cyber Crime; Intellectual Property; ,Criminal Division; ,16-1274; 
2019,Civil Rights; ,"Civil Rights Division; Civil Rights - Housing and Civil Enforcement Section; USAO - Washington, Eastern; ",16-1273; 
2020,Identity Theft; Tax; ,Tax Division; ,16-1272; 
2021,Health Care Fraud; ,"Criminal Division; Criminal - Criminal Fraud Section; USAO - Michigan, Eastern; ",16-1271; 
2022,Tax; ,Tax Division; ,16-1270; 
2023,None,USAO - District of Columbia; ,None
2024,Counterintelligence and Export Control; ,"National Security Division (NSD); USAO - California, Central; ",16-1269; 
2025,Counterterrorism; ,"National Security Division (NSD); USAO - Indiana, Northern; ",16-1268; 
2026,Antitrust; ,Antitrust Division; ,16-1267; 
2027,Public Corruption; ,Criminal Division; ,16-1261; 
2028,None,Office of the Deputy Attorney General; ,16-1265; 
2029,None,Office of the Deputy Attorney General; ,16-1264; 
2030,Asset Forfeiture; Cyber Crime; ,Criminal Division; ,16-1266; 
2031,Identity Theft; Tax; ,Tax Division; ,16-1263; 
2032,Counterintelligence and Export Control; ,National Security Division (NSD); USAO - District of Columbia; ,16-1262; 
2033,Environment; ,Environment and Natural Resources Division; ,16-1260; 
2034,Counterterrorism; ,"National Security Division (NSD); USAO - Virginia, Eastern; ",16-1259; 
2035,Tax; ,Tax Division; ,16-1258; 
2036,None,"Criminal Division; USAO - Texas, Southern; ",16-1257; 
2037,None,Office of the Attorney General; ,16-1255; 
2038,Counterintelligence and Export Control; ,National Security Division (NSD); USAO - Kansas; ,16-1254; 
2039,Civil Rights; ,Civil Rights Division; Civil Rights - Disability Rights Section; Civil Rights - Employment Litigation Section; ,16-1253; 
2040,Intellectual Property; ,"Criminal Division; USAO - Florida, Southern; ",16-1252; 
2041,Tax; ,Tax Division; ,16-1251; 
2042,Antitrust; ,Antitrust Division; ,16-1250; 
2043,Environment; ,Environment and Natural Resources Division; ,16-1249; 
2044,Firearms Offenses; Violent Crime; ,"Criminal Division; USAO - Michigan, Eastern; ",16-1248; 
2045,Tax; ,Tax Division; ,16-1247; 
2046,False Claims Act; Health Care Fraud; ,Civil Division; ,16-1245; 
2047,Public Corruption; ,Criminal Division; ,16-1244; 
2048,Civil Rights; ,Civil Rights Division; Civil Rights - Voting Section; Criminal Division; ,16-1243; 
2049,Tax; ,Tax Division; ,16-1246; 
2050,Civil Rights; ,"Civil Rights Division; Civil Rights - Special Litigation Section; USAO - Washington, Western; ",16-1242; 
2051,Health Care Fraud; ,"Criminal Division; Criminal - Criminal Fraud Section; USAO - California, Central; ",16-1241; 
2052,Foreign Corruption; ,Criminal Division; Criminal - Criminal Fraud Section; ,16-1240; 
